	feature_index	feature_name	feature_weight
253	253	vectorizer__ain	1.3229964556047011
205	205	vectorizer__agend	1.3235052479163008
204	204	vectorizer__agarr menin sej	1.3238303909749354
309	309	vectorizer__algu m conseg	1.3342780366964133
259	259	vectorizer__aind n	1.33563524264154
370	370	vectorizer__ame ond n	1.3356903107159788
239	239	vectorizer__aguent	1.3372764717431562
352	352	vectorizer__am ric grand	1.3453907694328566
22	22	vectorizer__abrig	1.3466030562264268
399	399	vectorizer__amorrr	1.3514215698806529
401	401	vectorizer__an	1.3567619985313124
222	222	vectorizer__agor s	1.3625280005267995
187	187	vectorizer__aescritoraeomus	1.3641139130377775
188	188	vectorizer__aescritoraeomus blogspot	1.3641139130377775
462	462	vectorizer__ant trump	1.3700463853115497
110	110	vectorizer__acord alivi	1.3705561463885316
121	121	vectorizer__acr lic s	1.3756075535816843
276	276	vectorizer__ajud eleg	1.3772157785250825
175	175	vectorizer__adv	1.377641244868761
326	326	vectorizer__alian contr	1.385200193648911
17	17	vectorizer__abr fronteir brasil	1.3867999220421492
247	247	vectorizer__ahahahahahah	1.3901741211908065
246	246	vectorizer__ahahah	1.3901741211908065
258	258	vectorizer__aind gent	1.400618282099668
320	320	vectorizer__algum par	1.41621425257349
16	16	vectorizer__abr fronteir	1.4180883720527335
231	231	vectorizer__agor vou	1.4287022840139447
103	103	vectorizer__acolh	1.4300175037281313
170	170	vectorizer__ador fuf urlh	1.430316468278504
161	161	vectorizer__ado galer	1.4311416112055728
47	47	vectorizer__acab mo	1.4400051751500618
382	382	vectorizer__amig banc t	1.4416174295547417
412	412	vectorizer__and tod	1.4448903177348047
216	216	vectorizer__agor est	1.4526288361758057
463	463	vectorizer__ant urlh	1.4582093953244002
134	134	vectorizer__acus pedofil	1.4603153629673225
331	331	vectorizer__alis	1.467206777301783
455	455	vectorizer__ansi par	1.4774475395032962
6	6	vectorizer__aberr	1.479903668068215
460	460	vectorizer__ant serm	1.4818914366476794
369	369	vectorizer__ame ond	1.48695137619022
48	48	vectorizer__acab mo adicion	1.491505599679481
466	466	vectorizer__antoni	1.49151630524966
304	304	vectorizer__alg	1.4928115535691877
324	324	vectorizer__ali s	1.505236317277551
162	162	vectorizer__ado galer tent	1.5084932326660847
313	313	vectorizer__algum	1.509633484248596
133	133	vectorizer__acus	1.5120389688938267
293	293	vectorizer__alarm	1.5291451618295455
424	424	vectorizer__angol ganh	1.5345539594163091
37	37	vectorizer__ac	1.5391064780686723
2	2	vectorizer__abandon	1.5408939144358136
96	96	vectorizer__ach vdd	1.5418635641424896
153	153	vectorizer__adicion v	1.5630059262145164
64	64	vectorizer__acess	1.5655645026553844
176	176	vectorizer__adv rio	1.5683006310337835
8	8	vectorizer__aberr es v	1.5708876710958504
387	387	vectorizer__amig minh	1.5790858460943509
439	439	vectorizer__anim	1.5923224486837089
115	115	vectorizer__acord s	1.6032864748359847
364	364	vectorizer__ambiqu	1.6044138826381824
167	167	vectorizer__ador est	1.605378274210721
432	432	vectorizer__angol n regist	1.608281355640304
197	197	vectorizer__afinal	1.6086106952641328
185	185	vectorizer__aen total dirig	1.6121258503899212
148	148	vectorizer__adi	1.616064761459217
171	171	vectorizer__adqu	1.6269630716227965
77	77	vectorizer__ach gay fuf	1.6364883206492165
315	315	vectorizer__algum cois	1.6458623294598174
249	249	vectorizer__ai n	1.6464710635773758
